Date,State,Sector,Attack_Type,Impact,Month,Year
2023-01-01,Maharashtra,Electricity,DDoS,7,1,2023
2023-01-02,Uttar Pradesh,Aerospace,Phishing,22,1,2023
2023-01-03,Maharashtra,Finance,DDoS,2,1,2023
2023-01-04,West Bengal,Health,Malware,82,1,2023
2023-01-05,Maharashtra,Finance,DDoS,89,1,2023
2023-01-06,Gujarat,Electricity,DDoS,7,1,2023
2023-01-07,Uttar Pradesh,Electricity,Phishing,51,1,2023
2023-01-08,West Bengal,Finance,Malware,77,1,2023
2023-01-09,West Bengal,Electricity,Ransomware,26,1,2023
2023-01-10,Gujarat,Oil,DDoS,46,1,2023
2023-01-11,West Bengal,Health,DDoS,11,1,2023
2023-01-12,Tamil Nadu,Health,Ransomware,87,1,2023
2023-01-13,West Bengal,Aerospace,Malware,43,1,2023
2023-01-14,Uttar Pradesh,Aerospace,Malware,90,1,2023
2023-01-15,Tamil Nadu,Electricity,DDoS,93,1,2023
2023-01-16,Uttar Pradesh,Electricity,DDoS,95,1,2023
2023-01-17,West Bengal,Finance,Data Breach,74,1,2023
2023-01-18,West Bengal,Aerospace,Malware,30,1,2023
2023-01-19,West Bengal,Electricity,Ransomware,42,1,2023
2023-01-20,Gujarat,Health,Ransomware,87,1,2023
2023-01-21,West Bengal,Health,Phishing,41,1,2023
2023-01-22,West Bengal,Oil,Malware,47,1,2023
2023-01-23,Gujarat,Health,DDoS,77,1,2023
2023-01-24,Uttar Pradesh,Oil,Ransomware,65,1,2023
2023-01-25,Maharashtra,Aerospace,Malware,84,1,2023
2023-01-26,West Bengal,Oil,Data Breach,85,1,2023
2023-01-27,West Bengal,Health,Data Breach,64,1,2023
2023-01-28,West Bengal,Aerospace,Malware,77,1,2023
2023-01-29,Uttar Pradesh,Oil,Malware,40,1,2023
2023-01-30,West Bengal,Aerospace,Phishing,84,1,2023
2023-01-31,West Bengal,Finance,Data Breach,34,1,2023
2023-02-01,Tamil Nadu,Finance,Phishing,71,2,2023
2023-02-02,Gujarat,Electricity,Ransomware,27,2,2023
2023-02-03,Gujarat,Electricity,Malware,58,2,2023
2023-02-04,Tamil Nadu,Aerospace,Malware,83,2,2023
2023-02-05,West Bengal,Finance,Malware,92,2,2023
2023-02-06,West Bengal,Health,Malware,38,2,2023
2023-02-07,Gujarat,Health,DDoS,84,2,2023
2023-02-08,Uttar Pradesh,Electricity,Data Breach,69,2,2023
2023-02-09,Uttar Pradesh,Finance,Data Breach,66,2,2023
2023-02-10,Maharashtra,Finance,Phishing,35,2,2023
2023-02-11,Gujarat,Electricity,Malware,28,2,2023
2023-02-12,Maharashtra,Aerospace,Phishing,23,2,2023
2023-02-13,Maharashtra,Electricity,Malware,63,2,2023
2023-02-14,Gujarat,Aerospace,Data Breach,44,2,2023
2023-02-15,Uttar Pradesh,Finance,Phishing,99,2,2023
2023-02-16,Tamil Nadu,Health,Data Breach,53,2,2023
2023-02-17,Tamil Nadu,Health,DDoS,84,2,2023
2023-02-18,Gujarat,Finance,DDoS,73,2,2023
2023-02-19,Tamil Nadu,Health,Malware,18,2,2023
2023-02-20,Gujarat,Health,Ransomware,56,2,2023
2023-02-21,Maharashtra,Health,Data Breach,71,2,2023
2023-02-22,Gujarat,Aerospace,Phishing,88,2,2023
2023-02-23,West Bengal,Aerospace,Data Breach,36,2,2023
2023-02-24,Tamil Nadu,Aerospace,Data Breach,83,2,2023
2023-02-25,Gujarat,Health,Ransomware,30,2,2023
2023-02-26,West Bengal,Health,Phishing,96,2,2023
2023-02-27,Uttar Pradesh,Electricity,Ransomware,84,2,2023
2023-02-28,Maharashtra,Finance,Data Breach,56,2,2023
2023-03-01,Gujarat,Oil,Malware,73,3,2023
2023-03-02,Tamil Nadu,Health,Ransomware,25,3,2023
2023-03-03,Maharashtra,Oil,DDoS,32,3,2023
2023-03-04,Maharashtra,Aerospace,Ransomware,48,3,2023
2023-03-05,Tamil Nadu,Health,Ransomware,66,3,2023
2023-03-06,Uttar Pradesh,Health,Malware,60,3,2023
